"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"19","@z34L0T @Kristennetten @Tesla @elonmusk @RandyPobst @thirdrowtesla I'm very sorry you have to with that. It's not o… https://t.co/yjfUpEuczj",FALSE,0,"z34L0T",2020-03-07 03:11:47,TRUE,"1236051317409210368","1236127376578424832","15017804","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dzajic",0,FALSE,FALSE,NA,NA
"20","@lostinvegas83 guys I loved your reaction to RATT!  They are highly unappreciated and they had great musicianship.… https://t.co/ILQq8LREQv",FALSE,0,"lostinvegas83",2020-03-07 03:11:46,TRUE,NA,"1236127374543966210","872992562637709312","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MaidenRules29",0,FALSE,FALSE,NA,NA
"21","@jenny_schuetz Tesla Model S ~4,900 lbs.

Many F150 Trucks weight less - EV batteries are very heavy.

Which one wo… https://t.co/MV4OJr1o2Z",FALSE,0,"jenny_schuetz",2020-03-07 03:11:46,TRUE,"1235944854208884736","1236127373365587969","905539072621518850","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","klahrinc",0,FALSE,FALSE,NA,NA
"22","People in Hawaii drive Tesla’s like nothing <U+0001F602><U+0001F602><U+0001F602>",FALSE,0,NA,2020-03-07 03:11:44,FALSE,NA,"1236127366449004545",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","nichelleyvette_",0,FALSE,FALSE,NA,NA
"23","@bh13850 @Beavis103 @InsideEVs @GM @Tesla @elonmusk Chevy volt has been very good for me",FALSE,0,"bh13850",2020-03-07 03:11:44,FALSE,"1236082740237406213","1236127365941653505","730462699113549825","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AktyonCo",0,FALSE,FALSE,NA,NA
"24","@meridithmcgraw Tesla ties....",FALSE,0,"meridithmcgraw",2020-03-07 03:11:44,FALSE,"1236055719247589377","1236127365702406144","20493166","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Mike24474121",0,FALSE,FALSE,NA,NA
"25","@benroyyy @BBertoniere @elonmusk @Tesla Ty",FALSE,0,"benroyyy",2020-03-07 03:11:40,FALSE,"1236127275789086720","1236127346698129410","264626779","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","4xRevenue",0,FALSE,FALSE,NA,NA
"26","@elonmusk make official Tesla iPhone wallpapers available on the website!",FALSE,0,"elonmusk",2020-03-07 03:11:36,FALSE,NA,"1236127331472859136","44196397","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realrossraboine",0,FALSE,FALSE,NA,NA
"27","@Kristennetten @Tesla @elonmusk @RandyPobst @thirdrowtesla Pink Panter sound for me please <U+0001F602> https://t.co/3k1Pa6Mwbx",FALSE,0,"Kristennetten",2020-03-07 03:11:30,FALSE,"1236047185549987840","1236127306273308672","985686123123949568","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sergiomikhayl",0,FALSE,FALSE,NA,NA
"28","@TomMHerman @stevenfhayward Electric cars have been a huge win for California, Tesla brings in a lot of $ and tax r… https://t.co/X9Hb97iExq",FALSE,0,"TomMHerman",2020-03-07 03:11:29,TRUE,"1236120949612675074","1236127301378560000","890090631216988160","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","stevemeier853",0,FALSE,FALSE,NA,NA
"29","RT @Havenlust: ""Crystals are living beings at the beginning of creation. All things have a frequency and a vibration."" – Nikola Tesla <U+0001F60D> htt…",FALSE,0,NA,2020-03-07 03:11:28,FALSE,NA,"1236127295724834817",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Jennyonthebeat",78,TRUE,FALSE,NA,NA
"30","RT @OMAGOLIBERTARIO: No século XIX, Thomas Edison irritou acendedores de lampião. 

Em 1900, Ford irritou cocheiros.

Em 1920, Marconi irri…",FALSE,0,NA,2020-03-07 03:11:26,FALSE,NA,"1236127288158273536",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PedroPask",210,TRUE,FALSE,NA,NA
"31","@teslaownersSV @elonmusk Tesla could very well be constraint by the recent China shutdown and parts supply chain interruption, hard to say.",FALSE,0,"teslaownersSV",2020-03-07 03:11:25,FALSE,"1236117422102339588","1236127283871506433","1016059981907386368","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","James95113983",0,FALSE,FALSE,NA,NA
"32","@4xRevenue @BBertoniere @elonmusk @Tesla https://t.co/mlHzsi7NgO",FALSE,1,"4xRevenue",2020-03-07 03:11:23,FALSE,"1236126903465127936","1236127275789086720","457483584","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","benroyyy",0,FALSE,FALSE,NA,NA
"33","RT @BrianRoemmele: Consider plasma.

After “dark matter” the highest concentration in the universe is—plasma.

Stars are plasma reactions.…",FALSE,0,NA,2020-03-07 03:11:19,FALSE,NA,"1236127260563787777",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","indiantoolmaker",7,TRUE,FALSE,NA,NA
"34","RT @ChineseWSJ: #<U+672C><U+5468><U+70ED><U+8BFB> <U+4E2D><U+56FD><U+4ECA><U+5E74><U+6625><U+8282><U+5047><U+671F><U+7684><U+7968><U+623F><U+6536><U+5165><U+4E3A><U+96F6>,<U+800C><U+53BB><U+5E74><U+540C><U+671F><U+7684><U+603B><U+7968><U+623F><U+6536><U+5165><U+8FBE><U+4EBA><U+6C11><U+5E01>59<U+4EBF><U+5143>;<U+4E5D><U+6210><U+516C><U+53F8><U+5728><U+8D27><U+7269><U+8FD0><U+8F93><U+4E0A><U+9047><U+5230><U+56F0><U+96BE>;<U+4ECA><U+5E74>2<U+6708><U+524D>16<U+5929>,<U+4E2D><U+56FD><U+6C7D><U+8F66><U+9500><U+91CF><U+4E0B><U+964D><U+4E86>92%;<U+4ECA><U+5E74>2<U+6708><U+4EFD>,<U+8FDC><U+7A0B><U+4F1A><U+8BAE><U+8F6F><U+4EF6><U+63D0><U+4F9B><U+5546>Zoom<U+7684><U+80A1><U+4EF7><U+4E0A><U+6DA8><U+4E86>38%……https://t.co/w…",FALSE,0,NA,2020-03-07 03:11:19,FALSE,NA,"1236127258676518914",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","PKrb1RV88A7n9k6",3,TRUE,FALSE,NA,NA
"35","@on_tesla @StatsTeslaApp @greentheonly Also it wants to change into a merge lane that will disappear as soon as goi… https://t.co/hlAa1gI8ci",FALSE,0,"ByeonChansoo",2020-03-07 03:11:17,TRUE,"1236126682899197954","1236127252993187840","1017486609707667456","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ByeonChansoo",0,FALSE,FALSE,NA,NA
"36","RT @Gusfrin92486024: <U+3010>PSA<U+3011><U+30C6><U+30B9><U+30E9> <U+30E2><U+30C7><U+30EB>3 <U+30ED><U+30F3><U+30B0><U+30EC><U+30F3><U+30B8>RWD<U+304C><U+4E2D><U+56FD><U+5F53><U+5C40><U+304B><U+3089><U+6B63><U+5F0F><U+306A><U+627F><U+8A8D><U+3092><U+53D6><U+5F97><U+3057><U+3001><U+30AE><U+30AC><U+4E0A><U+6D77><U+3067><U+306E><U+30ED><U+30F3><U+30B0><U+30EC><U+30F3><U+30B8><U+751F><U+7523><U+3078><U+9032><U+3093><U+3067><U+3044><U+307E><U+3059><U+3002>
#Teslamodel3  https://t.co/rL4HGN5czH",FALSE,0,NA,2020-03-07 03:11:17,FALSE,NA,"1236127250514186240",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","HANU_JEALOUSY",3,TRUE,FALSE,NA,NA
"37","@Dave_Hillman @IanPavelko @Model3Owners @Tesla I don’t think they’ve even stopped for food yet! What do you think they are eating? <U+0001F36B><U+0001F36C><U+0001F369><U+0001F36D><U+0001F37C><U+0001F96B>?",FALSE,0,"Dave_Hillman",2020-03-07 03:11:13,FALSE,"1236125897276526593","1236127232541593602","73825045","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","infernovideo",0,FALSE,FALSE,NA,NA
"38","RT @triumphkumamoto: <U+30C8><U+30E9><U+30A4><U+30A2><U+30F3><U+30D5><U+718A><U+672C><U+30AA><U+30FC><U+30D7><U+30F3><U+60C5><U+5831>!!

https://t.co/Zaxs81w6kA

#<U+30C8><U+30E9><U+30A4><U+30A2><U+30F3><U+30D5><U+718A><U+672C> #<U+30C8><U+30E9><U+30A4><U+30A2><U+30F3><U+30D5><U+798F><U+5CA1> #<U+30C8><U+30E9><U+30A4><U+30A2><U+30F3><U+30D5> #triumph #bike #<U+30D0><U+30A4><U+30AF> #<U+30AA><U+30FC><U+30C8><U+30D0><U+30A4> #<U+718A><U+672C> #<U+718A><U+672C><U+5E02> #<U+5149><U+306E><U+68EE> #<U+9E7F><U+5150><U+5CF6> #…",FALSE,0,NA,2020-03-07 03:11:02,FALSE,NA,"1236127187641614338",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LOVE_FAN_Tesla",22,TRUE,FALSE,NA,NA
"39","RT @thirdrowtesla: sign me up as a driver and a user  https://t.co/DjlK35r5J7",FALSE,0,NA,2020-03-07 03:11:01,FALSE,NA,"1236127184550604801",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","iphone_robm",2,TRUE,FALSE,NA,NA
"40","RT @OrgPhysics: Reaction of gasses to mini tesla coil! https://t.co/mGlVwjbP5Q",FALSE,0,NA,2020-03-07 03:10:58,FALSE,NA,"1236127171980058624",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","azym_lathyf",278,TRUE,FALSE,NA,NA
"41","@mark27883625 @AngelNDevil2 @fly4dat Legitimately curious, are you retarded? We’re talking about a shift to EVs.  T… https://t.co/hDbvTWpnE1",FALSE,0,"mark27883625",2020-03-07 03:10:52,TRUE,"1235972717247115270","1236127144822136832","1051701004666855424","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","cazforshort1",0,FALSE,FALSE,NA,NA
"42","RT @techAU: Update: Albury Skater Boy has been found and arrested!! Thanks to all who shared. #Tesla #teslacam",FALSE,0,NA,2020-03-07 03:10:42,FALSE,NA,"1236127103961010177",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","michael__dennis",3,TRUE,FALSE,NA,NA
"43","prius and tesla drivers could suck me like why tf y’all drive like that",FALSE,0,NA,2020-03-07 03:10:38,FALSE,NA,"1236127087263494145",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kyrafrancess",0,FALSE,FALSE,NA,NA
"44","RT @OrgPhysics: Reaction of gasses to mini tesla coil! https://t.co/mGlVwjbP5Q",FALSE,0,NA,2020-03-07 03:10:35,FALSE,NA,"1236127075507097600",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JHolbrookjr",278,TRUE,FALSE,NA,NA
"45","@elonmusk What's up Elon? Love everything you do! Currently own 3 shares of Tesla and when I have enough going to b… https://t.co/rKqFTs5OFO",FALSE,0,"elonmusk",2020-03-07 03:10:28,TRUE,NA,"1236127047346315264","44196397","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","budh420",0,FALSE,FALSE,NA,NA
"46","RT @WIRED: Your Cybertruck is here. It's just ... a toy. The Hot Wheels Tesla Cybertruck goes 25 miles per hour and accelerates like a demo…",FALSE,0,NA,2020-03-07 03:10:21,FALSE,NA,"1236127017965195264",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","chillcharles_",2785,TRUE,FALSE,NA,NA
"47","Hey @elonmusk I'm an automotive service technician in Canada and I'm huge supporter of the EV revolution you have s… https://t.co/ljVPdoHIly",FALSE,0,NA,2020-03-07 03:10:20,TRUE,NA,"1236127010570805248",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AlexTrombley12",0,FALSE,FALSE,NA,NA
"48","RT @julesboag: The skateboard #Teslavandal has been arrested and charged! Thanks @elonmusk and #Tesla for #SentryMode It wouldn’t have been…",FALSE,0,NA,2020-03-07 03:10:18,FALSE,NA,"1236127002559533056",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TeslaDiehardFan",10,TRUE,FALSE,NA,NA
"49","Amazing work by Tesla China team &amp;amp; support of Tesla customers greatly appreciated!!.",FALSE,0,NA,2020-03-07 03:10:10,FALSE,NA,"1236126971626754048",NA,"<a href=""https://twitter.com/i/status/1180946570008621056"" rel=""nofollow"">Twitter for Altair 8800</a>","ElonPosting",0,FALSE,FALSE,NA,NA
"50","@elonmusk Mr. Musk, will the new Tesla have hand sani dispenser in the wheel?",FALSE,0,"elonmusk",2020-03-07 03:10:01,FALSE,"1236029449042198528","1236126931722153984","44196397","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","godofboar",0,FALSE,FALSE,NA,NA
"51","RT @LightworkerCain: The Tesla Connection...

Nikola Tesla &gt; John Trump &gt; Donald Trump

#BraveNewWorld https://t.co/FPM2dvpcnL",FALSE,0,NA,2020-03-07 03:10:00,FALSE,NA,"1236126927708135425",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","IngaKaybor",45,TRUE,FALSE,NA,NA
"52","@IanPavelko @Model3Owners … Ian aura traversé le Canada 2 fois de suite avec sa Tesla Modèle 3, en plein hiver.  N’… https://t.co/qQxN8zfo9H",FALSE,0,"IanPavelko",2020-03-07 03:09:57,TRUE,NA,"1236126917650243584","2971246697","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","MCharette3683",0,FALSE,FALSE,NA,NA
"53","@sacramentotesla @elonmusk @Tesla @teslaownersSV @TeslaOwnersEBay @DMC_Ryan Looks like you need to drive your Tesla… https://t.co/YXTHCCQ6qY",FALSE,0,"sacramentotesla",2020-03-07 03:09:56,TRUE,"1236010099887321088","1236126912684032001","975911666184409088","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","zubinanary",0,FALSE,FALSE,NA,NA
"54","See me in a Tesla in 2-3 years bet",FALSE,0,NA,2020-03-07 03:09:55,FALSE,NA,"1236126906363170818",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","majja05",0,FALSE,FALSE,NA,NA
"55","RT @kei_sakurai: <U+4E00><U+65B9><U+3001><U+8A00><U+3063><U+3066><U+304A><U+304F><U+3051><U+3069><U+30E2><U+30C7><U+30EB>3<U+306F><U+6B27><U+7C73><U+3067><U+306F><U+666E><U+901A><U+306E><U+5185><U+71C3><U+6A5F><U+95A2><U+8ECA><U+4E26><U+306B><U+58F2><U+308C><U+3066><U+308B><U+304B><U+3089><U+306D><U+3002>
2019<U+5E74><U+306E><U+7C73><U+56FD><U+5E02><U+5834>car<U+30BB><U+30B0><U+30E1><U+30F3><U+30C8><U+3067>9<U+4F4D> https://t.co/yglopZQtYO
<U+6628><U+5E74>12<U+6708><U+306E><U+6B27><U+5DDE>car<U+30BB><U+30B0><U+30E1><U+30F3><U+30C8><U+3067>3<U+4F4D> https://t.co/Hs0S2…",FALSE,0,NA,2020-03-07 03:09:54,FALSE,NA,"1236126903469105152",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","ramona2772",6,TRUE,FALSE,NA,NA
"56","@benroyyy @BBertoniere @elonmusk @Tesla How can I steal your GIF?  It’s perfect.",FALSE,0,"benroyyy",2020-03-07 03:09:54,FALSE,"1236012472789692416","1236126903465127936","264626779","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","4xRevenue",0,FALSE,FALSE,NA,NA
"57","RT @SpaceX: Since its first mission in 2012 – when it became the first private spacecraft to visit the @space_station – Dragon has spent ov…",FALSE,0,NA,2020-03-07 03:09:50,FALSE,NA,"1236126888046653441",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LOVE_FAN_Tesla",934,TRUE,FALSE,NA,NA
"58","@CBSNews Did Elon take that picture himself from his space Tesla?",FALSE,0,"CBSNews",2020-03-07 03:09:46,FALSE,"1236124414045040640","1236126869080158208","15012486","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","wordsoflastdays",0,FALSE,FALSE,NA,NA
"59","@CulturaUNAM Es un asco de humana",FALSE,0,"CulturaUNAM",2020-03-07 03:09:46,FALSE,"1236117292045475841","1236126868077768704","49758266","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JC_Tesla",0,FALSE,FALSE,NA,NA
"60","@thirdrowtesla @elonmusk Tesla Sentry Mode the new Mystery Incorporated. <U+0001F602>",FALSE,0,"thirdrowtesla",2020-03-07 03:09:36,FALSE,"1236123182685274113","1236126829620211712","1139310453987745792","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ChelseaRhode",0,FALSE,FALSE,NA,NA
"61","RT @jgrano305: Just got word, some Model Ys are being transported to holding lots away from Tesla Fremont Factory, I do not know the reason…",FALSE,0,NA,2020-03-07 03:09:35,FALSE,NA,"1236126822305132544",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","vincent13031925",6,TRUE,FALSE,NA,NA
"62","@rickmanjohn @mztrash @3YearLetterman Tesla is as Italian as Olive Garden, and that’s straight from the Pope!",FALSE,0,"rickmanjohn",2020-03-07 03:09:27,FALSE,"1236101244999041024","1236126789614747648","896098806","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","MurrayWombat",0,FALSE,FALSE,NA,NA
"63","@teslaownersSV @Tesla @TOC_Fremont https://t.co/rTQjaCYu9P",FALSE,1,"teslaownersSV",2020-03-07 03:09:27,FALSE,"1236118104637231104","1236126788058615815","1016059981907386368","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","TeslaOwnersNBay",0,FALSE,FALSE,NA,NA
"64","RT @TeslaJoy: Dear GM, Tesla’s success isn’t just the battery tech; it’s so much more. Having a good battery tech ain’t cutting it.",FALSE,0,NA,2020-03-07 03:09:26,FALSE,NA,"1236126787710513152",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","adzlifrds",15,TRUE,FALSE,NA,NA
"65","RT @jgrano305: Just got word, some Model Ys are being transported to holding lots away from Tesla Fremont Factory, I do not know the reason…",FALSE,0,NA,2020-03-07 03:09:22,FALSE,NA,"1236126770232823808",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BLKMDL3",6,TRUE,FALSE,NA,NA
"66","@slcuervo 

Checa la nota..
Será?

https://t.co/jOO9WDKrUy",FALSE,0,"slcuervo",2020-03-07 03:09:20,FALSE,NA,"1236126762314145793","57960896","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Marco_Coello",0,FALSE,FALSE,NA,NA
"67","@on_tesla @StatsTeslaApp This. It needs to be improved.
Also noticing NOA is a bit behind HW2.5 as well. Possibly h… https://t.co/hLrJKlFSL9",FALSE,0,"on_tesla",2020-03-07 03:09:01,TRUE,"1236109058144378885","1236126682899197954","1177356004771684354","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ByeonChansoo",0,FALSE,FALSE,NA,NA
"68","GM unveils a new electric vehicle platform and battery in bid to take on Tesla
https://t.co/SGjRomPGuf",FALSE,0,NA,2020-03-07 03:08:59,FALSE,NA,"1236126670958051331",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Big_Surf",0,FALSE,FALSE,NA,NA
"69","@sage_simian Recent buyers of Tesla would disagree with you",FALSE,0,"sage_simian",2020-03-07 03:08:55,FALSE,"1236125484007604224","1236126655686426624","2171872700","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","melbournesdoc",0,FALSE,FALSE,NA,NA
"70","@AntonGoffe @TureMasing Håller med, Tesla har ju verkligen rasat ifrån 200 till 700,,,,,",FALSE,0,"AntonGoffe",2020-03-07 03:08:51,FALSE,"1235921402886270976","1236126637571235841","2912912607","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","LordMoyneJr",0,FALSE,FALSE,NA,NA
"71","@3YearLetterman @elonmusk Tesla’s are made in California. They aren’t imported to America. Tesla batteries for the… https://t.co/rzFAs9ax9d",FALSE,0,"3YearLetterman",2020-03-07 03:08:49,TRUE,"1236033872883855361","1236126631464521729","911290549541289986","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","es2120",0,FALSE,FALSE,NA,NA
"72","@elonmusk #Tesla can increase advertising efficiency with #Zilliqa #smartcontracts https://t.co/el1pJAwhZc",FALSE,0,"elonmusk",2020-03-07 03:08:45,FALSE,NA,"1236126611981971461","44196397","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CHAIN_Sith",0,FALSE,FALSE,NA,NA
